Calibrated Y,Station (MTR-Map data.csv),X,Y
838.9534606,YUL,232.7260563,825.9534606
502.6360382,YMT,871.2295775,497.6360382
435.7565632,YAT,1394.194366,430.7565632
655.3389021,WTS,1126.630986,642.3389021
938.6646778,WKS,1570.542958,925.6646778
429.676611,WHA,1124.198592,424.676611
131.6229117,WCH,772.7176056,131.6229117
262.9498807,WAC,901.634507,262.9498807
936.2326969,UNI,984.3359155,923.2326969
716.1384248,TWW,266.7795775,703.1384248
936.2326969,TWO,822.5916901,923.2326969
654.1229117,TWH,348.2647887,641.1229117
762.3460621,TUM,176.7809859,749.3460621
401.7088305,TUC,291.1035211,396.7088305
584.1073986,TSY,469.884507,579.1073986
655.3389021,TSW,263.1309859,642.3389021
402.924821,TST,871.2295775,397.924821
938.6646778,TSH,1339.465493,925.6646778
481.9642005,TKW,1165.549296,476.9642005
432.1085919,TKO,1534.057042,427.1085919
947.176611,TIS,209.6183099,934.176611
435.7565632,TIK,1464.733803,430.7565632
262.9498807,TIH,1062.172535,262.9498807
738.026253,TAW,1020.821831,725.026253
936.2326969,TAP,897.9859155,923.2326969
262.9498807,TAK,1384.464789,262.9498807
262.9498807,SYP,578.1260563,262.9498807
262.9498807,SWH,1464.733803,262.9498807
526.9558473,SUW,1208.116197,521.9558473
502.6360382,SUN,396.9126761,497.6360382
857.1933174,STW,1140.009155,844.1933174
654.1229117,SSP,828.6626761,641.1229117
82.98329356,SOH,544.0725352,82.98329356
203.3663484,SKW,1541.354225,203.3663484
652.9049212,SKM,919.8774648,639.9049212
842.601432,SIH,179.2133803,829.601432
262.9498807,SHW,655.9626761,262.9498807
795.1778043,SHT,1018.389437,782.1778043
935.0167064,SHS,674.2056338,922.0167064
938.6646778,SHM,1260.412676,925.6646778
858.4093079,RAC,1046.361972,845.4093079
262.9498807,QUB,1304.195775,262.9498807
598.699284,PRE,871.2295775,593.699284
591.4033413,POA,1576.623944,586.4033413
481.9642005,OLY,615.828169,476.9642005
179.0465394,OCP,868.7971831,179.0465394
591.4033413,NTK,1356.492254,586.4033413
262.9498807,NOP,1222.710563,262.9498807
575.5954654,NAC,619.4767606,570.5954654
938.6646778,MOS,1493.922535,925.6646778
551.2756563,MOK,871.2295775,546.2756563
547.627685,MKK,1018.389437,542.627685
651.6909308,MEF,625.5577465,638.6909308
936.2326969,LOW,596.3690141,923.2326969
891.2410501,LOP,236.3746479,878.2410501
655.3389021,LOF,1071.902113,642.3389021
909.4809069,LMC,545.2887324,896.4809069
372.5250597,LHP,1575.407746,367.5250597
85.41527446,LET,647.4492958,85.41527446
654.1229117,LCK,687.5838028,641.1229117
483.1801909,LAT,1354.059859,478.1801909
654.1229117,LAK,556.234507,641.1229117
537.8997613,KWT,1354.059859,532.8997613
654.1229117,KWH,420.0204225,641.1229117
654.1229117,KWF,490.5598592,641.1229117
784.2338902,KSR,233.9422535,771.2338902
405.3568019,KOW,613.3957746,400.3568019
652.9069212,KOT,1018.389437,639.9069212
636.3949881,KOB,1344.330282,631.3949881
262.9498807,KET,413.9394366,262.9498807
588.9713604,KAT,1239.737324,583.9713604
452.7804296,JOR,871.2295775,447.7804296
388.3329356,HUH,981.9035211,383.3329356
456.428401,HOM,1057.307746,451.428401
300,HOK,738.4264555,300
262.9498807,HKU,495.4246479,262.9498807
710.0584726,HIK,1116.901408,697.0584726
132.8389021,HFC,1575.407746,132.8389021
938.6646778,HEO,1416.085915,925.6646778
523.3078759,HAH,1575.407746,518.3078759
857.1933174,FOT,1018.389437,844.1933174
262.9498807,FOH,1141.225352,262.9498807
301.7,EXC,900,301.7
447.2,DIS,447,442.2
651.6909308,DIH,1239.737324,638.6909308
654.1229117,CSW,759.3394366,641.1229117
796.3937947,CKT,1140.009155,783.3937947
938.6646778,CIO,1183.792254,925.6646778
61.09546539,CHW,1575.407746,61.09546539
655.3389021,CHH,1293.25,642.3389021
262.9498807,CEN,739.8802817,262.9498807
262.9498807,CAB,980.6873239,262.9498807
517.2279236,AWE,304.4816901,512.2279236
405.3568019,AUS,777.5823944,400.3568019
262.9498807,ADM,820.1492958,262.9498807
,FAN,748.398662,922.0167064
,ETS,897.9859155,367.5250597
,WEK,695.4890845,400.3568019
,AIR,266.7795775,447.7804296
