Station,Line,X,Y
YUL,TML,232.73,838.953
YMT,TWL,871.23,502.636
YAT,TKL,1394.19,435.757
WTS,KTL,1126.63,655.339
WKS,TML,1570.54,938.665
WHA,KTL,1124.2,429.677
WEK,HSR,704,406.2
WCH,SIL,772.72,131.623
WAC,ISL,901.63,262.95
TWW,TML,266.78,716.138
TWO,EAL,822.59,936.233
TWH,TWL,348.26,654.123
TUM,TML,176.78,762.346
TUC,TCL,291.1,401.709
TSY,TCL,469.88,584.107
TSY,AEL,469.88,584.107
TSW,TWL,263.13,655.339
TST,TWL,871.23,395
TSH,TML,1339.47,938.665
TKW,TML,1165.55,481.964
TKO,TKL,1534.06,432.109
TIS,TML,209.62,947.177
TIK,TKL,1464.73,435.757
TIH,ISL,1062.17,262.95
TAW,TML,1020.82,738.026
TAP,EAL,897.99,936.233
TAK,ISL,1384.46,262.95
SYP,ISL,578.13,262.95
SWH,ISL,1464.73,262.95
SUW,TML,1208.12,526.956
SUN,TCL,396.91,502.636
STW,TML,1140.01,857.193
SSP,TWL,828.66,654.123
SOH,SIL,544.07,82.983
SKW,ISL,1541.35,203.366
SKM,KTL,919.88,652.905
SIH,TML,179.21,842.601
SHW,ISL,655.96,262.95
SHT,EAL,1018.39,795.178
SHS,EAL,674.21,935.017
SHM,TML,1260.41,938.665
QUB,ISL,1304.2,262.95
PRE,TWL,871.23,598.699
POA,TKL,1576.62,591.403
OLY,TCL,615.83,481.964
OCP,SIL,868.8,179.047
NTK,KTL,1356.49,591.403
NOP,ISL,1222.71,262.95
NAC,TML,619.48,575.595
MOS,TML,1493.92,938.665
MOK,TWL,871.23,551.276
MKK,EAL,1018.39,547.628
MEF,TWL,625.56,651.691
LOW,EAL,596.37,936.233
LOP,TML,236.37,891.241
LOF,KTL,1071.9,655.339
LMC,EAL,545.29,909.481
LHP,TKL,1575.41,372.525
LET,SIL,647.45,85.415
LCK,TWL,687.58,654.123
LAT,KTL,1354.06,483.18
LAK,TWL,556.23,654.123
KWT,KTL,1354.06,537.9
KWH,TWL,420.02,654.123
KWF,TWL,490.56,654.123
KSR,TML,233.94,784.234
KOW,TCL,613.4,405.357
KOW,AEL,613.4,405.357
KOT,EAL,1018.39,652.907
KOB,KTL,1344.33,636.395
KET,ISL,413.94,262.95
KAT,TML,1239.74,588.971
JOR,TWL,871.23,452.78
HUH,EAL,981.9,388.333
HOM,KTL,1057.31,456.428
HOK,TCL,738.43,300
HKU,ISL,495.42,262.95
HIK,TML,1116.9,710.058
HFC,ISL,1575.41,132.839
HEO,TML,1416.09,938.665
HAH,TKL,1575.41,523.308
FOT,EAL,1018.39,857.193
FOH,ISL,1141.23,262.95
FAN,EAL,748.4,935.017
EXC,EAL,900,301.7
ETS,TML,899,364.7
DIH,KTL,1239.74,651.691
CSW,TWL,759.34,654.123
CKT,TML,1140.01,796.394
CIO,TML,1183.79,938.665
CHW,ISL,1575.41,61.095
CHH,KTL,1293.25,655.339
CEN,ISL,739.88,262.95
CAB,ISL,980.69,262.95
AWE,AEL,304.48,517.228
AUS,TML,777.58,405.357
ADM,SIL,820.15,262.95
RAC,EAL,1046.36,858.409
UNI,EAL,984.336,936.233
DIS,DRL,447,447.2
AIR,AEL,266.78,452.78
